device,policy,freq_khz,static,active,idle0,idle1
monaco,0,614400,4.8,9.41,0.76,0
monaco,0,864000,6.68,13.64,0.83,0
monaco,0,1363200,12.6,24.83,1.1,0
monaco,0,1708800,18.39,39.69,1.34,0
